Name,ID_No,Gender,Dob,Address,Contact_number,Date_of_Joining,Qualification,Department,Job_title,Basic_pay,Password
Aasha,1001,F,15-10-89,"14 , st St,officers Clny,mehta Nagar, Aminjikarai,chennai",9847521364,1/1/2010,Phd,Computerscience Engineering,Head Of Department,"182,000.00",Aasha
Aaliya,1002,F,17-04-86,"114 , Valluvar Kottam High Road, Near Market,chennai",9456471725,1/1/2013,Mphil,Computerscience Engineering,Lecturer,"131,000.00",Aaliya
Aditi,1003,F,15-08-82,"Sp-18,3rd Main Road, Indl Estate, Ambattur,chennai",9475625461,1/1/2015,Mphil,Computerscience Engineering,Lecturer,"131,000.00",Aditi
Aishwarya,1004,F,22-05-88,"No 1039/2,(old No 525), Ph Road, Arumbakkam,chennai",9756214456,1/1/2012,Mphil,Information Technology,Lecturer,"131,000.00",
Anjali,1005,F,4/6/1981,"680 , T H Rd, Tondiarpet,chennai",9458712360,1/1/2010,Phd,Information Technology,Head Of Department,"182,000.00",
Aparna,1006,F,25-06-92,"175 , Chellappa Mudali St, Otteri,chennai",9012375648,1/1/2014,Mphil,Information Technology,Lecturer,"131,000.00",
Aruna,1007,F,23-05-83,"36 -d Veeraswamy Pillai St, Periamet,chennai",9125478639,1/1/2010,Phd,Mechanical Engineering,Head Of Department,"182,000.00",
Bhavana,1008,F,5/5/1990,"67 ,new No , st Flr Amar Sindur F-b, Pantheon Rd,chennai",9547612308,1/1/2017,Mphil,Mechanical Engineering,Lecturer,"131,000.00",
Chandrika,1009,F,14-06-85,"14  Singara Garden th Lane, Old Washermenpet,chennai",9745632105,1/1/2010,Phd,Mechanical Engineering,Professor,"182,000.00",
Deepika,1010,F,9/11/1986,"153 , Brickklin Rd, Purasaiwalkam,chennai",9874102356,1/1/2010,Phd,Information Technology,Professor,"182,000.00",
Harini,1011,F,31-12-89,"114  M S Koil Street, Royapuram,chennai",9753951245,1/1/2015,Mphil,Mechanical Engineering,Lecturer,"131,000.00",
Geetha,1012,F,2/10/1991,"172 -a, T H Road, Kaladipet,chennai",9874560125,1/1/2017,Mphil,Information Technology,Assistant professor,"144,000.00",Geetha
Jayanthi,1013,F,28-02-83,"53 /, E C Road, Neelankarai,chennai",9547862130,1/1/2010,Phd,Civil Engineering,Head Of Department,"182,000.00",
Kalyani,1014,F,24-12-84,"59  G P Road, Mount Road,chennai",9012547863,1/1/2013,Mphil,Civil Engineering,Lecturer,"131,000.00",
Lavanya,1015,F,30-09-93,"104 , Luz Church Rd, Mylapore,chennai",9873546120,1/1/2015,MBA,Mechanical Engineering,Assistant professor,"144,000.00",
Revati,1016,F,29-05-83,"83 ,maddox Street, Vepery,chennai",9875632140,1/1/2010,Phd,Computerscience Engineering,Professor,"82,000.00",
Sanjana,1017,F,18-06-85,"New-10, Philips St,chennai",9852147630,1/1/2010,Phd,Civil Engineering,Professor,"182,000.00",
Shreya ,1018,F,25-07-93,"251 , Linghi Chetty Street, Parrys,chennai",9874125630,1/1/2017,MBA,Civil Engineering,Assistant professor,"144,000.00",
Shivani,1019,F,18-05-90,"14 -jun, Vengu Chetty Street Park Town,chennai",9873214560,1/1/2016,MBA,Computerscience Engineering,Assistant professor,"144,000.00",
Urvashi,1020,F,14-06-87,"13 -oct, Natesan St, T Nagar,chennai",9842367105,1/1/2013,Mphil,Civil Engineering,Lecturer,"131,000.00",
niranjan,1021,M,16/05/2003,"5/5 nanchil brinfha,adambakkam",9444236596,16/5/2020,b.mfil,civil engineering,Professor,"20,000",
